Volt;Corrente;Ora;Data;Coordinate
4.90;16.15;15:31:51;29/8/22;45.6043536,13.7328641
4.97;16.40;15:33:47;29/8/22;45.6043536,13.7328641
4.92;17.68;15:35:41;29/8/22;45.6043536,13.7328641
4.92;19.43;15:37:37;29/8/22;45.6043536,13.7328641
4.91;20.37;15:39:38;29/8/22;45.6043536,13.7328641
4.96;17.44;15:41:31;29/8/22;45.6043536,13.7328641
4.93;18.39;15:43:30;29/8/22;45.6043536,13.7328641
4.99;16.84;15:45:31;29/8/22;45.6043536,13.7328641
4.98;20.53;15:47:31;29/8/22;45.6043536,13.7328641
4.92;20.66;15:49:29;29/8/22;45.6043536,13.7328641
4.98;18.74;15:51:21;29/8/22;45.6043536,13.7328641
4.98;19.52;15:53:14;29/8/22;45.6043536,13.7328641
4.91;19.65;15:55:7;29/8/22;45.6043536,13.7328641
4.92;18.56;15:57:2;29/8/22;45.6043536,13.7328641
4.93;21.18;15:58:57;29/8/22;45.6043536,13.7328641
4.99;17.70;16:0:56;29/8/22;45.6043536,13.7328641
4.96;20.72;16:2:51;29/8/22;45.6043536,13.7328641
4.96;20.84;16:4:48;29/8/22;45.6043536,13.7328641
4.92;20.53;16:6:46;29/8/22;45.6043536,13.7328641
4.98;17.17;16:8:46;29/8/22;45.6043536,13.7328641
4.94;17.85;16:10:40;29/8/22;45.6043536,13.7328641
4.90;21.94;16:12:39;29/8/22;45.6043536,13.7328641
4.90;17.47;16:14:39;29/8/22;45.6043536,13.7328641
4.97;19.74;16:16:30;29/8/22;45.6043536,13.7328641
4.99;19.97;16:18:23;29/8/22;45.6043536,13.7328641
4.91;16.45;16:20:23;29/8/22;45.6043536,13.7328641
4.91;18.54;16:22:24;29/8/22;45.6043536,13.7328641
4.93;20.57;16:24:15;29/8/22;45.6043536,13.7328641
4.92;21.36;16:26:8;29/8/22;45.6043536,13.7328641
4.99;21.44;16:28:5;29/8/22;45.6043536,13.7328641
4.90;19.23;16:30:4;29/8/22;45.6043536,13.7328641
4.91;18.49;16:32:3;29/8/22;45.6043536,13.7328641
4.99;16.43;16:34:0;29/8/22;45.6043536,13.7328641
4.93;19.85;16:35:55;29/8/22;45.6043536,13.7328641
4.20;16.20;16:37:48;29/8/22;45.6043536,13.7328641
4.68;20.57;16:39:45;29/8/22;45.6043536,13.7328641
4.41;17.88;16:41:46;29/8/22;45.6043536,13.7328641
4.55;16.19;16:43:37;29/8/22;45.6043536,13.7328641
3.77;16.45;16:45:28;29/8/22;45.6043536,13.7328641
3.19;14.59;16:47:26;29/8/22;45.6043536,13.7328641
3.72;15.28;16:49:24;29/8/22;45.6043536,13.7328641
3.55;14.38;16:51:22;29/8/22;45.6043536,13.7328641
3.11;16.40;16:53:18;29/8/22;45.6043536,13.7328641
3.33;15.21;16:55:10;29/8/22;45.6043536,13.7328641
3.40;12.78;16:57:8;29/8/22;45.6043536,13.7328641
3.29;12.58;16:59:5;29/8/22;45.6043536,13.7328641
3.11;16.59;17:1:3;29/8/22;45.6043536,13.7328641
3.67;12.51;17:2:56;29/8/22;45.6043536,13.7328641
3.86;14.60;17:4:57;29/8/22;45.6043536,13.7328641
3.84;13.22;17:6:58;29/8/22;45.6043536,13.7328641
3.21;12.28;17:8:56;29/8/22;45.6043536,13.7328641
3.69;13.68;17:10:52;29/8/22;45.6043536,13.7328641
3.48;16.34;17:12:46;29/8/22;45.6043536,13.7328641
3.53;13.87;17:14:40;29/8/22;45.6043536,13.7328641
3.33;13.73;17:16:41;29/8/22;45.6043536,13.7328641
3.31;14.61;17:18:37;29/8/22;45.6043536,13.7328641
3.67;12.14;17:20:37;29/8/22;45.6043536,13.7328641
3.98;12.93;17:22:28;29/8/22;45.6043536,13.7328641
3.39;15.22;17:24:20;29/8/22;45.6043536,13.7328641
3.83;13.79;17:26:17;29/8/22;45.6043536,13.7328641
3.42;12.15;17:28:16;29/8/22;45.6043536,13.7328641
3.16;16.13;17:30:17;29/8/22;45.6043536,13.7328641
3.25;14.72;17:32:16;29/8/22;45.6043536,13.7328641
3.42;13.32;17:34:15;29/8/22;45.6043536,13.7328641
3.31;15.35;17:36:16;29/8/22;45.6043536,13.7328641
3.36;13.10;17:38:16;29/8/22;45.6043536,13.7328641
4.18;17.50;17:40:11;29/8/22;45.6043536,13.7328641
4.16;16.58;17:42:4;29/8/22;45.6043536,13.7328641
4.90;18.47;17:43:56;29/8/22;45.6043536,13.7328641
3.96;13.71;17:45:48;29/8/22;45.6043536,13.7328641
3.78;16.87;17:47:41;29/8/22;45.6043536,13.7328641
3.57;13.54;17:49:36;29/8/22;45.6043536,13.7328641
3.44;14.43;17:51:31;29/8/22;45.6043536,13.7328641
3.22;13.31;17:53:22;29/8/22;45.6043536,13.7328641
3.97;15.68;17:55:23;29/8/22;45.6043536,13.7328641
3.61;12.70;17:57:14;29/8/22;45.6043536,13.7328641
3.14;15.48;17:59:9;29/8/22;45.6043536,13.7328641
3.92;16.62;18:1:1;29/8/22;45.6043536,13.7328641
3.92;12.41;18:3:2;29/8/22;45.6043536,13.7328641
3.88;12.15;18:4:54;29/8/22;45.6043536,13.7328641
3.32;14.81;18:6:48;29/8/22;45.6043536,13.7328641
3.64;14.94;18:8:39;29/8/22;45.6043536,13.7328641
3.89;15.78;18:10:33;29/8/22;45.6043536,13.7328641
3.43;15.88;18:12:28;29/8/22;45.6043536,13.7328641
3.26;12.13;18:14:25;29/8/22;45.6043536,13.7328641
2.13;8.50;18:16:23;29/8/22;45.6043536,13.7328641
3.44;15.66;18:18:18;29/8/22;45.6043536,13.7328641
